id,day,hour,duration,courseCode,handlingStaff,additionalStaff
1,1,1,1,CS7452,702101,""
2,1,3,1,CS7351,35557,""
3,1,5,4,IT7412,60612,"10006,10008,701290,701683"
4,2,2,1,IT7402,60612,""
5,2,3,2,CS7451,67371,""
6,2,5,1,IT7401,67158,""
7,2,6,1,CS7351,35557,""
8,3,1,2,CS7452,702101,""
9,3,3,2,MA7451,701847,""
10,3,5,2,CS7451,67371,""
11,4,1,2,IT7401,67158,""
12,4,3,1,IT7402,60612,""
13,4,5,4,IT7411,67382,"10026,60634,702100,702350"
14,5,1,1,CS7452,61703,""
15,5,3,2,MA7451,701847,""
16,5,5,1,CS7452,702101,""
17,5,6,1,CS7351,35557,""
14,5,7,1,CS7452,61703,""
18,5,8,1,IT7402,60612,""